morpheme,variant,nb,type,nature,transitivity,number,engMean,freMean,END
aaggisi,aaggiisi aaggiis aagiis aagisiu aagusi aaguusi aagissi,1,n,,,,August,août,.
aaktik,,1,n,,,,arctic,arctic,.
aatikul,,1,n,,,,article,article,.
aipuru,,1,n,,,,April,avril,.
gaasalii,,1,n,,,,gasoline,gazoline,.
gavama,,1,n,,,,government,gouvernement,.
Haakiq,,1,v,,i,,to play hockey,jouer au hockey,.
Haammalat,,1,n,,,,hamlet,hameau,.
Hakiq,,1,v,,i,,to play hockey,jouer au hockey,.
Hamlat,,1,n,,,,hamlet,hameau,.
iipuru,,1,n,,,,April,avril,.
iipurul,,1,n,,,,April,avril,.
jastis,,1,n,,,,Justice (as in Mr. Justice),"Juge (mot anglais = Justice, comme dans M. le juge)",.
julai,,1,n,,,,July,juillet,.
juuni,,1,n,,,,June,juin,.
kaanturaak,,1,v,,t,,to contract,contracter,.
kamisana,,1,n,,,,commissioner,commissionnaire,.
kamisina,,1,n,,,,commissioner,commissionnaire,.
kanata,,1,n,,,,Canada,Canada,.
maajji,,1,n,,,,March,mars,.
maatsi,,1,n,,,,March,mars,.
mai,,1,n,,,,May,mai,.
mataam,,1,n,,,,Madame,madame,.
milian,,1,n,,,,million,million,.
minisita,,1,n,,,,minster,ministre,.
minista,,1,n,,,,minister,ministre,.
mis,,1,n,,,,miss,mademoiselle,.
mista,,1,n,,,,mister,monsieur,.
mistu,,1,n,,,,mister,monsieur,.
niu,nu nuu,1,n,place,,,New,Nouveau/Nouvelle,.
nuuvimpiri,,1,n,,,,November,novembre,.
pai,pii vai,1,n,place,,,Bay,Baie,.
paliisi,,1,n,,,,police,police,.
puriimmia,,1,n,,,,premier,"""premier""  (mot anglais)",.
riva,rivar rivu,1,n,place,,,River,Rivière,.
saut,,1,n,place,,,South,Sud,.
sigaliaq,siggaliaq sigaliq,1,n,,,,cigarette,cigarette,.
siggaaq,,1,n,,,,cigar,cigare,.
siitiivva,,1,n,,,,September,septembre,.
sitiivi,,1,n,,,,CTV,CTV (chaîne de télévision),.
taala,,1,n,,,,dollar,dollar,.
tausan,,1,n,,,,thousand,"""thousand"" (mot anglais) = millier",.
tiisimpiri,,1,n,,,,December,décembre,.
tisimpiri,,1,n,,,,December,décembre,.
uivii,uivi,1,n,,,,a french-speaking person,une personne de langue française,.
utupiri,,1,n,,,,October,octobre,.
vait,,1,n,place,,,White,Blanc/Blanche,.
vivvuari,,1,n,,,,February,février,.
